Season Number,Startup Name,Industry_Cleaned,Pitchers City,Pitchers State,Pitchers Average Age,Gross Margin,Net Margin,Yearly Revenue_M_INR,Monthly Sales_M_INR,Original Ask Amount_M_INR,Valuation Requested_M_INR,Total Deal Amount_M_INR,Deal Valuation_M_INR,Total Deal Equity,Total Deal Debt_M_INR,Royalty Percentage,Number of Sharks in Deal,Deal_Success_Flag,Received Offer,Accepted Offer,Number of Presenters,Male Presenters,Female Presenters,Couple Presenters,Founder_Type,Namita Investment Amount_M_INR,Vineeta Investment Amount_M_INR,Anupam Investment Amount_M_INR,Aman Investment Amount_M_INR,Peyush Investment Amount_M_INR,Ritesh Investment Amount_M_INR,Amit Investment Amount_M_INR,Guest Investment Amount_M_INR
2,Aadvik,F&B,Delhi,Delhi,Middle,,,72.0,5.0,6.0,400.0,1.5,100.0,1.5,4.5,,1.0,1,1,1.0,2,2.0,,0,Male Team,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0
2,oyehappy,Business Services,Hyderabad,Telangana,Middle,80.0,,100.5,8.0,5.0,500.0,0.0,0.0,,0.0,,,0,0,,2,2.0,,0,Male Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,HealthyMaster,F&B,Bangalore,Karnataka,Middle,45.0,,0.0,2.0,5.0,250.0,5.0,76.92307692,6.5,0.0,,1.0,1,1,1.0,3,1.0,2.0,1,Mixed Team,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Kitsons,Lifestyle/Home,Hyderabad,Telangana,Middle,,,0.0,0.0,100.0,1000.0,0.0,0.0,,0.0,,,0,0,,3,3.0,,0,Male Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,LondonBubble,F&B,Mumbai,Maharashtra,Middle,,,0.0,0.0,7.5,150.0,7.5,50.0,15.0,0.0,,1.0,1,1,1.0,2,2.0,,0,Male Team,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,WaggyZone,Other,Mumbai,Maharashtra,Middle,60.0,,0.0,0.1,5.0,100.0,0.0,0.0,,0.0,,,0,0,,1,,1.0,0,Female Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,NutriCook,F&B,"Bangalore,Punganur","Karnataka,Andhra Pradesh",Middle,,,1.3,0.0,10.0,500.0,5.0,50.0,10.0,5.0,,1.0,1,1,1.0,2,1.0,1.0,0,Mixed Team,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Subhag,Medical/Health,"Jhumri Telaiya,Raipur","Jharkhand,Chhattisgarh",Middle,,,0.0,0.0,5.0,500.0,2.0,200.0,1.0,3.0,,1.0,1,1,1.0,3,3.0,,0,Male Team,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,SinghStyled,Beauty/Fashion,Mumbai,Maharashtra,Middle,,,0.0,0.75,5.0,100.0,5.0,50.0,10.0,0.0,,1.0,1,1,1.0,2,2.0,,0,Male Team,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
2,ZSportsTech,Fitness/Sports/Outdoors,Mumbai,Maharashtra,Middle,,,3.1,0.0,6.0,300.0,0.0,0.0,,0.0,,,0,0,,2,2.0,,0,Male Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
